type,fold,rna_idx,drug_idx,label,split
rna,1,0,0,1,train
rna,1,0,9,1,train
rna,1,0,10,1,train
rna,1,0,11,1,train
rna,1,1,7,1,train
rna,1,1,12,1,train
rna,1,3,0,1,train
rna,1,3,10,1,train
rna,1,3,16,1,train
rna,1,4,0,1,train
rna,1,4,9,1,train
rna,1,4,17,1,train
rna,1,5,0,1,train
rna,1,5,9,1,train
rna,1,7,9,1,train
rna,1,7,13,1,train
rna,1,8,0,1,train
rna,1,8,5,1,train
rna,1,8,8,1,train
rna,1,8,10,1,train
rna,1,8,13,1,train
rna,1,8,18,1,train
rna,1,8,19,1,train
rna,1,8,25,1,train
rna,1,8,26,1,train
rna,1,8,27,1,train
rna,1,8,28,1,train
rna,1,8,29,1,train
rna,1,8,30,1,train
rna,1,9,0,1,train
rna,1,9,1,1,train
rna,1,9,5,1,train
rna,1,9,6,1,train
rna,1,9,7,1,train
rna,1,9,14,1,train
rna,1,9,17,1,train
rna,1,9,19,1,train
rna,1,9,31,1,train
rna,1,9,32,1,train
rna,1,11,5,1,train
rna,1,11,9,1,train
rna,1,12,0,1,train
rna,1,12,9,1,train
rna,1,13,0,1,train
rna,1,13,27,1,train
rna,1,14,5,1,train
rna,1,14,34,1,train
rna,1,15,9,1,train
rna,1,15,13,1,train
rna,1,16,0,1,train
rna,1,16,6,1,train
rna,1,16,9,1,train
rna,1,16,10,1,train
rna,1,16,17,1,train
rna,1,16,36,1,train
rna,1,16,37,1,train
rna,1,17,0,1,train
rna,1,17,1,1,train
rna,1,18,5,1,train
rna,1,18,18,1,train
rna,1,19,0,1,train
rna,1,19,10,1,train
rna,1,19,18,1,train
rna,1,19,39,1,train
rna,1,20,0,1,train
rna,1,20,1,1,train
rna,1,20,5,1,train
rna,1,20,9,1,train
rna,1,20,10,1,train
rna,1,21,40,1,train
rna,1,21,41,1,train
rna,1,22,5,1,train
rna,1,22,9,1,train
rna,1,23,0,1,train
rna,1,23,3,1,train
rna,1,25,0,1,train
rna,1,25,1,1,train
rna,1,25,3,1,train
rna,1,25,7,1,train
rna,1,25,9,1,train
rna,1,25,10,1,train
rna,1,25,17,1,train
rna,1,25,22,1,train
rna,1,25,38,1,train
rna,1,25,43,1,train
rna,1,26,0,1,train
rna,1,26,5,1,train
rna,1,26,44,1,train
rna,1,27,0,1,train
rna,1,27,9,1,train
rna,1,28,5,1,train
rna,1,28,17,1,train
rna,1,28,34,1,train
rna,1,28,45,1,train
rna,1,31,10,1,train
rna,1,31,48,1,train
rna,1,32,0,1,train
rna,1,32,1,1,train
rna,1,32,3,1,train
rna,1,32,5,1,train
rna,1,32,10,1,train
rna,1,32,13,1,train
rna,1,32,47,1,train
rna,1,32,49,1,train
rna,1,32,50,1,train
rna,1,32,51,1,train
rna,1,33,0,1,train
rna,1,33,6,1,train
rna,1,33,50,1,train
rna,1,33,51,1,train
rna,1,33,52,1,train
rna,1,34,0,1,train
rna,1,34,5,1,train
rna,1,34,18,1,train
rna,1,34,50,1,train
rna,1,34,52,1,train
rna,1,34,53,1,train
rna,1,34,54,1,train
rna,1,34,55,1,train
rna,1,35,0,1,train
rna,1,35,1,1,train
rna,1,35,3,1,train
rna,1,35,52,1,train
rna,1,36,0,1,train
rna,1,36,3,1,train
rna,1,36,5,1,train
rna,1,36,13,1,train
rna,1,36,50,1,train
rna,1,36,52,1,train
rna,1,37,0,1,train
rna,1,37,3,1,train
rna,1,37,5,1,train
rna,1,38,1,1,train
rna,1,38,38,1,train
rna,1,38,52,1,train
rna,1,40,0,1,train
rna,1,40,1,1,train
rna,1,40,3,1,train
rna,1,40,5,1,train
rna,1,40,52,1,train
rna,1,40,57,1,train
rna,1,41,13,1,train
rna,1,41,17,1,train
rna,1,41,18,1,train
rna,1,41,51,1,train
rna,1,41,58,1,train
rna,1,42,0,1,train
rna,1,42,1,1,train
rna,1,42,5,1,train
rna,1,42,10,1,train
rna,1,42,16,1,train
rna,1,42,18,1,train
rna,1,42,19,1,train
rna,1,42,32,1,train
rna,1,42,34,1,train
rna,1,42,50,1,train
